customer_id,first_name,last_name,date_of_birth,ssn,email,phone,address,city,state,zip,bank_name,routing_number,account_number,account_type,enrollment_date,merchant_tier
CUST-10001,Robert,Mitchell,10/11/1966,559-76-4558,robert.mitchell95@yahoo.com,(207) 977-3615,4606 Birch Way Apt 755,San Antonio,TX,78244,Discover Bank,031100649,00133890838,Checking,12/15/2024,Standard
CUST-10002,Kimberly,Martinez,03/29/1953,146-85-3734,kimberly.martinez13@aol.com,(497) 281-4814,3627 Harbor Way,Philadelphia,PA,19125,KeyBank,041001039,407816184959,Savings,04/14/2023,Standard
CUST-10003,Cynthia,Green,07/20/1967,132-41-6573,cynthia.green35@yahoo.com,(475) 267-4456,6077 Pine Rd,Columbus,OH,43243,Goldman Sachs,124085024,832764835,Checking,08/03/2024,Premium
CUST-10004,Margaret,Adams,09/17/1992,605-12-0772,margaret.adams19@icloud.com,(313) 356-3621,8279 Market St,New Orleans,LA,70141,US Bank,091000019,884969653,Savings,11/27/2024,Standard
CUST-10005,Ronald,Harris,07/18/1956,740-39-8318,ronald.harris88@yahoo.com,(824) 403-3504,9863 Sunset Blvd,Atlanta,GA,30301,Ally Bank,124003116,5146270482,Savings,01/18/2024,Premium
CUST-10006,Jamal,Lee,10/12/1970,640-78-6933,jamal.lee8@hotmail.com,(417) 752-4295,8105 Main St Apt 372,Nashville,TN,37216,Discover Bank,031100649,17182278,Savings,12/31/2024,Enterprise
CUST-10007,Melissa,Lewis,12/26/1971,785-63-3511,melissa.lewis3@hotmail.com,(753) 335-8744,8579 Sunset Blvd Apt 231,Phoenix,AZ,85022,Discover Bank,031100649,010310518,Savings,09/06/2023,Standard
CUST-10008,Betty,Miller,11/06/1984,287-36-7580,betty.miller60@gmail.com,(456) 277-8260,1688 Orchard Ln,Baltimore,MD,21227,Citibank,021000089,65133387,Savings,07/17/2024,Standard
CUST-10009,Miguel,Washington,11/10/1996,777-92-7974,miguel.washington53@mail.com,(359) 394-5861,341 Maple Dr,Indianapolis,IN,46211,USAA,314074269,602606474,Checking,08/11/2023,Standard
CUST-10010,Kevin,Brown,07/26/1950,734-11-6869,kevin.brown8@yahoo.com,(874) 797-9565,921 Commerce Blvd,Mesa,AZ,85211,PNC Bank,043000096,91361939,Savings,11/20/2023,Enterprise
CUST-10011,Kevin,Thomas,02/25/1980,391-21-7180,kevin.thomas41@yahoo.com,(757) 920-5956,4451 Market St Apt 661,Nashville,TN,37230,Chase,021000021,99118384251,Savings,09/18/2024,Premium
CUST-10012,Raj,Martin,10/28/1971,145-01-5465,raj.martin71@outlook.com,(334) 852-5291,1797 Franklin Ave Apt 119,San Antonio,TX,78248,BB&T,053101121,9353487401,Checking,06/15/2023,Premium
CUST-10013,Guadalupe,Rivera,03/25/1997,516-80-2533,guadalupe.rivera70@gmail.com,(443) 366-3900,7107 Mountain View Terrace Apt 78,Anchorage,AK,99510,KeyBank,041001039,826204505331,Checking,02/27/2024,Standard
CUST-10014,Brian,Patel,06/13/1976,385-09-4574,brian.patel35@outlook.com,(560) 856-9346,6845 College Ave,Richmond,VA,23234,Citibank,021000089,07337543303,Checking,02/14/2024,Premium
CUST-10015,Patricia,Davis,08/23/1993,651-88-3229,patricia.davis14@protonmail.com,(573) 641-2146,4379 Pine Rd,San Francisco,CA,94103,KeyBank,041001039,6981693406,Checking,11/11/2024,Enterprise
CUST-10016,Jessica,Campbell,04/06/1974,393-27-7044,jessica.campbell52@icloud.com,(794) 821-6279,5020 River Rd,Louisville,KY,40221,Ally Bank,124003116,366299468,Checking,04/21/2024,Standard
